Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
2126.0,24.0,041,1.0
2245.0,10.0,006,1.0
2640.0,7.0,014,1.0
2671.0,22.0,024,1.0
2301.0,9.0,003,1.0
2547.0,25.0,001,1.0
2542.0,20.0,023,1.0
5312.0,3.0,021,1.0
2104.0,36.0,014,1.0
2410.0,14.0,005,2.0
2627.0,35.0,006,1.0
2415.0,10.0,003,1.0
2047.0,17.0,002,1.0
4325.0,5.0,012,1.0
2220.0,6.0,023,1.0
2505.0,14.0,010,1.0
4242.0,25.0,018,1.0
6034.0,20.0,020,1.0
2706.0,16.0,027,1.0
2570.0,8.0,017,1.0
2570.0,8.0,010,1.0
5548.0,15.0,017,2.0
2570.0,8.0,017,1.0
2506.0,6.0,001,1.0
5404.0,6.0,023,2.0
2136.0,21.0,023,1.0
2263.0,18.0,007,1.0
2648.0,13.0,027,1.0
2649.0,19.0,021,1.0
2368.0,11.0,010,1.0
2126.0,6.0,015,1.0
2570.0,19.0,005,1.0
6066.0,9.0,072,1.0
4257.0,4.0,032,1.0
6042.0,20.0,017,1.0
2628.0,5.0,017,1.0
2231.0,1.0,016,1.0
2316.0,12.0,036,1.0
2005.0,13.0,016,1.0
4369.0,37.0,001,1.0
5042.0,5.0,041,1.0
2040.0,23.0,003,1.0
2316.0,1.0,012,1.0
5540.0,10.0,010,1.0
5043.0,13.0,015,1.0
5088.0,4.0,056,1.0
5307.0,11.0,021,1.0
2617.0,5.0,028,1.0
2604.0,5.0,033,1.0
2502.0,11.0,049,1.0
2340.0,20.0,013,1.0
2405.0,18.0,016,1.0
5535.0,34.0,001,1.0
2639.0,23.0,005,1.0
2276.0,18.0,028,1.0
4249.0,6.0,016,1.0
2637.0,1.0,020,1.0
6051.0,20.0,002,1.0
5016.0,37.0,009,1.0
5523.0,19.0,028,1.0
4234.0,5.0,025,1.0
2673.0,8.0,043,1.0
2414.0,9.0,017,1.0
4223.0,5.0,022,1.0
2242.0,12.0,016,1.0
5082.0,2.0,004,1.0
5445.0,27.0,039,1.0
4254.0,3.0,020,1.0
2679.0,10.0,008,1.0
4223.0,1.0,022,1.0
4127.0,6.0,022,1.0
5473.0,23.0,017,1.0
2022.0,15.0,023,1.0
5054.0,26.0,008,1.0
4326.0,28.0,017,1.0
2362.0,9.0,009,1.0
2712.0,13.0,005,1.0
2202.0,4.0,020,1.0
4256.0,17.0,005,1.0
4325.0,19.0,045,1.0
2822.0,6.0,020,1.0
4368.0,14.0,005,1.0
2357.0,15.0,029,1.0
6036.0,18.0,008,1.0
5515.0,20.0,007,1.0
4254.0,4.0,012,1.0
5305.0,22.0,019,1.0
4392.0,9.0,015,1.0
5072.0,26.0,008,1.0
5002.0,14.0,003,1.0
6120.0,26.0,030,1.0
2104.0,28.0,008,1.0
2615.0,13.0,012,1.0
2249.0,8.0,013,1.0
5085.0,32.0,019,1.0
5178.0,16.0,028,1.0
2022.0,23.0,069,1.0
5015.0,20.0,001,1.0
2246.0,2.0,009,1.0
2333.0,6.0,057,1.0
5015.0,16.0,027,1.0
2235.0,2.0,019,1.0
2423.0,35.0,004,1.0
7349.0,26.0,031,1.0
4257.0,22.0,053,1.0
2634.0,8.0,004,1.0
5523.0,8.0,002,1.0
2604.0,16.0,013,1.0
4257.0,8.0,009,1.0
5045.0,15.0,020,1.0
5190.0,16.0,030,1.0
2023.0,5.0,007,1.0
4223.0,12.0,018,1.0
2618.0,8.0,010,1.0
2621.0,16.0,012,1.0
5214.0,20.0,016,1.0
2238.0,4.0,026,1.0
7456.0,25.0,026,1.0
2408.0,17.0,010,1.0
5205.0,18.0,018,1.0
2559.0,9.0,009,1.0
2535.0,26.0,015,1.0
4255.0,25.0,007,1.0
4248.0,32.0,011,1.0
2209.0,7.0,009,1.0
5522.0,26.0,011,1.0
5440.0,26.0,013,1.0
6069.0,18.0,018,1.0
2329.0,17.0,011,1.0
2040.0,23.0,024,1.0
4259.0,8.0,020,1.0
5434.0,17.0,002,1.0
4246.0,12.0,024,1.0
5526.0,21.0,004,1.0
2622.0,3.0,018,1.0
2263.0,17.0,032,1.0
5116.0,11.0,016,1.0
2121.0,1.0,010,1.0
5466.0,14.0,036,1.0
2242.0,15.0,011,1.0
4108.0,2.0,004,1.0
5679.0,23.0,015,1.0
7349.0,27.0,028,1.0
2136.0,4.0,008,1.0
2604.0,28.0,020,1.0
5113.0,19.0,014,1.0
2340.0,30.0,016,1.0
2692.0,5.0,008,1.0
2415.0,10.0,018,1.0
5514.0,3.0,047,1.0
4303.0,4.0,004,1.0
4321.0,5.0,059,1.0
2218.0,2.0,017,1.0
4312.0,2.0,023,1.0
2156.0,23.0,018,1.0
2034.0,31.0,040,1.0
2248.0,24.0,001,1.0
5540.0,8.0,001,1.0
5015.0,8.0,007,1.0
2245.0,13.0,022,1.0
2234.0,23.0,013,1.0
5588.0,4.0,009,1.0
4256.0,16.0,028,1.0
5453.0,3.0,035,1.0
2303.0,3.0,009,1.0
2779.0,43.0,031,1.0
4317.0,11.0,027,1.0
2103.0,10.0,015,1.0
2324.0,19.0,020,1.0
4312.0,6.0,011,1.0
4405.0,21.0,001,2.0
5047.0,6.0,012,1.0
2210.0,20.0,031,2.0
5015.0,20.0,001,1.0
5083.0,17.0,024,1.0
2132.0,10.0,012,1.0
5420.0,38.0,014,1.0
2042.0,9.0,027,1.0
4223.0,28.0,028,1.0
4264.0,14.0,010,1.0
5029.0,1.0,007,1.0
2103.0,13.0,028,1.0
2628.0,24.0,021,1.0
4106.0,19.0,047,1.0
2330.0,3.0,014,1.0
5523.0,13.0,012,1.0
6058.0,26.0,008,1.0
2410.0,8.0,003,1.0
2210.0,3.0,055,1.0
4352.0,3.0,030,1.0
2362.0,19.0,009,1.0
2368.0,14.0,023,1.0
5014.0,9.0,034,1.0
2125.0,28.0,027,1.0
2616.0,13.0,017,1.0
2220.0,14.0,005,1.0
5560.0,30.0,005,1.0
5020.0,9.0,009,1.0
5109.0,18.0,003,1.0
4008.0,3.0,008,1.0
4247.0,10.0,018,1.0
4230.0,28.0,008,1.0
5469.0,14.0,001,1.0
5052.0,20.0,024,1.0
2533.0,24.0,008,1.0
2203.0,5.0,016,1.0
5083.0,22.0,004,1.0
2322.0,8.0,036,1.0
2217.0,12.0,046,1.0
2340.0,15.0,046,1.0
2245.0,23.0,006,1.0
5477.0,22.0,001,1.0
2264.0,22.0,021,1.0
5063.0,11.0,034,1.0
2287.0,1.0,044,1.0
5507.0,13.0,014,1.0
4019.0,4.0,035,1.0
2637.0,31.0,008,1.0
5507.0,7.0,006,1.0
2501.0,18.0,006,1.0
2358.0,25.0,001,1.0
2360.0,10.0,024,1.0
2369.0,20.0,006,1.0
6015.0,19.0,012,1.0
2261.0,38.0,005,1.0
6119.0,16.0,014,1.0
4006.0,19.0,033,1.0
2230.0,14.0,008,1.0
5430.0,4.0,030,1.0
7421.0,20.0,027,1.0
4108.0,8.0,015,1.0
6037.0,4.0,021,1.0
5514.0,7.0,043,1.0
2610.0,25.0,014,1.0
2316.0,24.0,003,1.0
2225.0,23.0,035,1.0
4007.0,9.0,017,1.0
4257.0,2.0,011,1.0
4236.0,23.0,034,1.0
2525.0,2.0,022,1.0
5201.0,19.0,020,1.0
7347.0,2.0,003,1.0
4305.0,11.0,008,1.0
4236.0,25.0,011,1.0
2324.0,26.0,007,1.0
4008.0,13.0,004,1.0
2617.0,1.0,034,1.0
2129.0,10.0,024,1.0
2728.0,1.0,015,1.0
4230.0,6.0,232,1.0
5493.0,29.0,002,1.0
2615.0,21.0,015,1.0
2123.0,14.0,011,1.0
2616.0,3.0,005,1.0
5174.0,19.0,042,1.0
4318.0,13.0,029,1.0
2125.0,8.0,008,1.0
2694.0,13.0,017,1.0
5101.0,30.0,028,1.0
5440.0,15.0,010,2.0
2766.0,6.0,008,1.0
2531.0,29.0,008,1.0
2151.0,35.0,034,1.0
6072.0,19.0,030,1.0
2303.0,14.0,072,1.0
2508.0,5.0,015,1.0
4009.0,6.0,011,1.0
2615.0,5.0,023,1.0
2109.0,17.0,009,1.0
5477.0,14.0,029,1.0
2101.0,3.0,017,1.0
4008.0,27.0,015,1.0
2229.0,18.0,005,1.0
5057.0,14.0,011,1.0
2616.0,4.0,003,1.0
5013.0,26.0,012,1.0
2156.0,24.0,022,1.0
4356.0,11.0,004,1.0
4309.0,2.0,014,1.0
7425.0,29.0,005,1.0
2414.0,2.0,029,1.0
2414.0,8.0,011,1.0
2116.0,16.0,001,1.0
2114.0,2.0,022,1.0
2405.0,3.0,032,1.0
2330.0,24.0,003,1.0
5551.0,28.0,008,1.0
2647.0,9.0,012,1.0
5005.0,26.0,025,1.0
4256.0,16.0,022,1.0
2156.0,24.0,034,1.0
5093.0,23.0,022,1.0
4109.0,15.0,004,1.0
5034.0,14.0,022,1.0
2726.0,12.0,022,1.0
2201.0,19.0,001,1.0
2125.0,27.0,003,1.0
5085.0,18.0,032,1.0
2247.0,5.0,020,1.0
2637.0,31.0,012,1.0
5587.0,17.0,022,1.0
2115.0,15.0,010,1.0
5033.0,1.0,003,1.0
4004.0,12.0,013,1.0
6074.0,22.0,028,1.0
6015.0,8.0,022,1.0
5035.0,3.0,002,1.0
4214.0,7.0,011,1.0
2109.0,2.0,025,1.0
2329.0,26.0,012,1.0
2263.0,12.0,026,1.0
5481.0,6.0,012,1.0
2234.0,24.0,022,1.0
2260.0,21.0,011,1.0
2405.0,18.0,017,1.0
2645.0,20.0,025,1.0
5516.0,21.0,002,1.0
5047.0,13.0,010,1.0
2246.0,28.0,001,1.0
4360.0,11.0,008,1.0
2309.0,22.0,005,1.0
2502.0,26.0,051,1.0
2013.0,26.0,010,1.0
4320.0,7.0,037,1.0
4239.0,8.0,028,1.0
6037.0,4.0,021,1.0
5180.0,13.0,032,1.0
2386.0,31.0,003,1.0
5062.0,10.0,022,1.0
4107.0,23.0,017,1.0
5436.0,26.0,018,1.0
5435.0,29.0,018,1.0
5042.0,29.0,005,1.0
4254.0,16.0,006,1.0
2762.0,15.0,017,1.0
5042.0,17.0,020,1.0
2697.0,11.0,018,1.0
5435.0,26.0,003,1.0
5549.0,28.0,012,1.0
2039.0,16.0,013,1.0
4108.0,26.0,024,1.0
4493.0,29.0,017,1.0
2708.0,17.0,024,1.0
2531.0,20.0,047,1.0
5669.0,28.0,001,1.0
5526.0,39.0,017,1.0
2611.0,28.0,009,1.0
2404.0,21.0,023,1.0
5116.0,18.0,030,1.0
5440.0,15.0,010,2.0
5478.0,36.0,017,1.0
2266.0,24.0,027,1.0
2340.0,22.0,022,1.0
2153.0,25.0,017,1.0
2678.0,5.0,012,1.0
5048.0,17.0,019,1.0
6034.0,4.0,009,1.0
4223.0,026,004,1.0
5514.0,010,021,1.0
4332.0,011,021,1.0
2336.0,027,002,1.0
2689.0,004,001,1.0
5066.0,004,004,1.0
5105.0,014,026,1.0
5514.0,003,054,1.0
2102.0,006,005,1.0
2671.0,020,002,1.0
5033.0,019,047,1.0
2781.0,031,016,1.0
2762.0,017,024,1.0
4492.0,011,007,1.0
5063.0,010,038,1.0
2692.0,022,018,1.0
4401.0,003,011,1.0
5589.0,025,020,1.0
5445.0,018,016,1.0
2504.0,001,009,1.0
5014.0,017,008,1.0
5085.0,008,003,1.0
2076.0,020,036,1.0
2107.0,014,033,1.0
5006.0,008,020,1.0
4311.0,022,008,1.0
7416.0,032,009,2.0
4303.0,008,031,1.0
2377.0,011,007,1.0
2545.0,014,024,1.0
4264.0,025,021,1.0
6065.0,026,052,1.0
5547.0,025,019,1.0
6055.0,023,029,1.0
2012.0,008,001,1.0
5592.0,021,026,1.0
2246.0,020,002,1.0
4231.0,008,023,1.0
2646.0,014,015,1.0
2357.0,005,009,1.0
5055.0,020,010,1.0
2616.0,014,003,1.0
5423.0,017,007,1.0
5015.0,006,029,1.0
4246.0,026,015,1.0
5539.0,024,012,2.0
2036.0,021,027,1.0
2131.0,019,007,1.0
2784.0,006,030,1.0
5565.0,025,017,1.0
4302.0,024,009,1.0
2012.0,004,028,1.0
5479.0,012,019,1.0
4113.0,002,001,1.0
2533.0,016,010,1.0
4106.0,024,008,1.0
2108.0,028,006,1.0
2135.0,037,011,1.0
4303.0,025,029,1.0
5018.0,011,051,2.0
4240.0,004,003,1.0
2682.0,002,016,1.0
