CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8167180,2018,2020-05-26,5600,2018-01-29,1700,3386,8125,1,5,5,5601,0,0,0,,0,8C01,"ARNEILL RD","BARRY ST",183.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",34.220058441162109,-119.03897094726562,VENTURA,CAMARILLO,-119.03900146484375,34.219993591308594
8414912,2018,2018-02-14,5600,2018-01-30,1840,2740,9080,2,5,6,5607,0,0,0,,0,09H,"HILLCREST DR","MARIN ST",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,4,2,A,-,09,21801,A,N,H,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,4,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.88382720947266,34.182750701904297
8414916,2018,2018-02-14,5600,2018-01-22,1425,2740,9122,1,5,6,5607,0,0,0,,0,09H,"BORCHARD RD","NEWBURY RD CONNECTOR",20.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,F,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.92630004882812,34.182960510253906
8504531,2018,2018-08-15,5600,2018-01-31,2358,5002,8153,3,5,5,5601,0,0,0,,0,8B01,"PLEASANT VALLEY RD","5TH ST",8.00,W,N,A,-,Y,VEN,7,34,-,-,12.463,I,5,W,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,B,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.205348968505859,-119.04099273681641,VENTURA,CAMARILLO,-119.04074859619141,34.205417633056641
8513493,2018,2018-02-15,5608,2018-01-01,1801,492,,1,5,6,5608,0,0,0,,0,001,"E MAIN ST","RAEMERE ST",0.00,,-,B,-,N,,,,,,,,,,Y,2,0,1,2,A,-,10,21950,,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,-,,1,0,0,0,1,0,0,0,0,"- ","- ",34.280899047851562,-119.285400390625,VENTURA,VENTURA,,
8513633,2018,2018-08-10,5600,2018-01-08,1059,2994,5146,1,5,4,5690,0,0,0,,0,02B,"RT 118","SPRING RD",0.00,,Y,B,C,Y,VEN,7,118,-,R,17.880,H,-,W,Y,3,0,1,2,A,-,03,22350,,N,D,C,A,B,H,-,A,A,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",,,VENTURA,MOORPARK,-118.87532043457031,34.278999328613281
8514013,2018,2018-02-23,5600,2018-01-17,2000,2833,9072,3,5,6,5607,0,0,0,,0,09G,"HILLCREST DR","GAZANIA CT",82.00,E,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21806,A,N,B,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.85595703125,34.181907653808594
8530269,2018,2018-01-23,5600,2018-01-05,1732,4550,9130,5,5,6,5607,0,0,0,,0,09C,"KELLEY RD EAST","DONEGAL AV",225.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,C,E,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.92102813720703,34.180755615234375
8530327,2018,2018-01-25,5600,2018-01-09,1157,2877,8133,2,5,5,5601,0,0,0,,0,8C01,"LAS POSAS RD","CAMINO ALVAREZ",0.00,,Y,C,-,N,,,,,,,,,,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",34.143478393554688,-119.00444793701172,VENTURA,CAMARILLO,-119.01231384277344,34.242889404296875
8530398,2018,2018-01-25,5600,2018-01-02,1817,4615,8101,2,5,5,5601,0,0,0,,0,08B,"TAMARIX ST","GLENBROOK AV",6.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,A,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",34.234870910644531,-119.05207061767578,VENTURA,CAMARILLO,-119.05195617675781,34.234935760498047
