Name,Street Address,City,State,Zip Code,County,Phone,Description,Resource Type,Web Link,Notes,Latitude,Longitude
Agnes Memorial Church Of God In Christ,2372 International Boulevard,Oakland,CA,94601,Alameda,510-533-1101,Partners with the City of Oakland's Hunger Relief Program. Serves as a distribution food pantry site for the Lower San Antonio District.,Food Pantry,http://agnesmemorialchurch.com,,37.783047,-122.234238
Alameda County Community Food Bank,7900 Edgewater Drive,Oakland,CA,94621,Alameda,510-635-3663,"Call our Helpline at: 1-800-870-FOOD (3663) or 1-510-635-3663. Or, visit FoodNow.net. Hours of operation: Monday – Friday, 9 a.m. – 4 p.m. Our Helpline will connect you to a source for groceries or a hot meal the same day you call us. We can assist callers in multiple languages. If you leave a message, we will call you back and connect you to a nearby food provider the same day you call.",Food Bank,https://www.accfb.org/,,37.741538,-122.2013
Salaam Food Pantry,4039 Irvington Avenue,Fremont,CA,94538,Alameda,415-860-2409,Provides non-perishable grocery bags for needy families.,Food Pantry,http://salaamfoodpantry.org/,,37.531391,-121.959689
Sierra Winds,10354 Argonaut Lane,Jackson,CA,95642,Amador,,"Monday through Friday Lunch at Noon, (must attend group class)",Food Pantry,http://www.feedamador.org/site/pages/get_help.cgi,,38.358841,-120.789164
St Patrick's Hall,115 Court St,Jackson,CA,95642,Amador,,"Thursday evenings, 5:00-7:00pm",Food Pantry,http://www.feedamador.org/site/pages/get_help.cgi,,38.34987,-120.773385
South Hayward Parrish,27287 Patrick Avenue,Hayward,CA,94544,Alameda,510-785-3663,A coalition of 7 Hayward congregations which provide an emergency food pantry. A nonprofit organization that collaborates to provide services for the homeless and a family resource center.,Food Pantry,http://southhaywardparish.org/,,37.634013,-122.079671
St. Elizabeth's Parrish,1500 - 34th Avenue,Oakland,CA,94601,Alameda,510-536-1266,,Food Pantry,http://www.saintelizabethoak.org/,,37.778045,-122.222403
Bangor Community Church,7419 Oro Bangor Highway,Bangor,CA,95914,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.394472,-121.410353
Buck's Market,12130 Laporte Road,Clipper Mills,CA,95930,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.543835,-121.220469
Central Seventh Day Adventist,4201 Wilson Road,Bakersfield,CA,93309,Kern,,Every 1st and 3rd Tuesday of every month from 9:00am-12:00pm,Food Pantry,http://www.capk.org/,,35.3316,-119.051023
Westpark Community Center,450 W Harrison Ave,Ventura,CA,93001,Ventura,,3rd Wednesday 3:30-4:30pm,Food Pantry,https://foodshare.com/,,34.287839,-119.306018
Community Action Agency Of Butte County Inc Berry Creek Fire Station #61,287 Rockerfeller Road,Berry Creek,CA,95916,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.624071,-121.373072
Community Action Agency Of Butte County Inc Biggs United Methodist Church,441 C Street,Biggs,CA,95917,Butte,(530) 712-2600 ext. 3 Service/Intake,,Food Pantry,http://northstatefoodbank.com/,,39.41417,-121.709555
Community Action Agency Of Butte County Inc Christian Life Center,1492 East Avenue,Chico,CA,95927,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.761655,-121.816974
Alameda Food Bank,650 W Ranger Avenue,Alameda,CA,94501,Alameda,510-523-5850,"Current hours (may change): Mon, Wed, Fri 12:00 - 5:00pm; Tu, Th 9:30am - 6:30pm. Must be Alameda city resident. 

Distributes non-perishable food items on a monthly basis at Food Bank warehouse at Alameda Point. Offers shopping list of available products, from which clients can choose. Quantity is based on family size. It is suggested that limited- or non-English speaking clients bring a translator with them to the CFS program, especially if they do not have their list with them when they arrive.",Food Pantry,http://www.alamedafoodbank.org/,,37.784108,-122.299112
Community Action Agency Of Butte County Inc Cohasset Community Center,11 Maple Creek Ranch Road,Cohasset,CA,95973,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.925594,-121.731516
All Saints Episcopal Church,911 Dowling Blvd,San Leandro,CA,94577,Alameda,510-569-7020,Operates monthly food pantry as one site of Alameda County Community Food Bank.,Food Pantry,http://www.saintsalive.net/,,37.736224,-122.147597
Asbury United Methodist Church,4743 East Avenue,Livermore,CA,94550,Alameda,925-447-1950,Offers a place to feed the hungry and homeless on a weekly basis.,Food Pantry,http://www.asburylive.org/,,37.67796,-121.736978
Community Action Agency Of Butte County Inc Concow Grange,4412 Big Bend Road,Concow,CA,95965,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.721585,-121.488461
Catholic Ladies Relief Society,1386 Longfellow Avenue,Chico,CA,95926,Butte,(530) 895-8331,"Monday - Friday, 9am-12pm. Emergency food assistance.",Food Distribution Program,https://www.facebook.com/Catholic-Ladies-Relief-Society-3-1681359945507214/,,39.751954,-121.824637
Chico Gleaners Inc.,1436 Nord Ave. Unit D,Chico,CA,95926,Butte,(530) 895-3006 Service/Intake,,Food Pantry,http://helpcentral.org/,,39.734705,-121.86489
Chico Rescue Mission,2612 Esplanade,Chico,CA,95973,Butte,(530) 343-1935 Intake/Administration,,Food Pantry,http://helpcentral.org/,,39.758702,-121.862674
Telegraph Community Center,5316 Telegraph Avenue,Oakland,CA,94609,Alameda,510-658-4457,"Community agency which operates food pantry, as well as some clothing and personal care items. Accepts donations of personal care items such as soap, deodorant and toothpaste, nonperishable food, produce, books, formula, diapers, clothing. Items must be clean and serviceable. Volunteers needed.",Food Pantry,http://www.telegraphcenter.com/,,37.83899,-122.26203
Christian Life Assembly Of God Church,1526 Humble Avenue,Gridley,CA,95948,Butte,(530) 846-2358,,Food Pantry,http://www.ag.org,,39.36101,-121.677433
Tri-cities Community Development Center,37620 Filbert Street,Newark,CA,94560,Alameda,510-790-9092,Provides food and clothing assistance to people in need.,Food Pantry,http://tricitiescdc.com/,,37.523342,-122.03453
Bethel Christian Assembly Church,1929 Arnold Way.,Alpine,CA,91901,Alpine,(619) 445-5508,HARVEST THURSDAYS at Bethel Church. Set up will begin at 9:00 am and then distribution will be open from 10:00 am – 12:00 pm only.,Food Distribution Program,http://alpinebethel.org/,,32.8353,-116.77458
Community Church Of Pine Grove,14045 Ponderosa Way,Pine Grove,CA,95665,Amador,,Wednesdays at 6:00pm,Food Pantry,http://www.feedamador.org/site/pages/get_help.cgi,,38.41235,-120.678089
Interfaith Council of Amador County,12181 Airport Road,Jackson,CA,95642,Amador,209-267-9006,Food Bank lobby is closed. We will take bags out to cars in parking lot. Monday-Friday 11:00am-3:00pm.,Food Pantry,http://feedamador.org/site/pages/home.cgi,,38.37753,-120.799955
Community Action Agency Of Butte County,"2640 S. Fifth Avenue, Suite 7",Oroville,CA,95965,Butte,530-538-7559,,Food Pantry,http://northstatefoodbank.com/,,39.494839,-121.565833
Seventh Day Adventist Church,12900 Ridge Road,Sutter Creek,CA,95685,Amador,,"1st and 3rd Monday Night Dinners, 4 - 5:30pm",Food Pantry,http://www.feedamador.org/site/pages/get_help.cgi,,38.382961,-120.786787
Community Action Agency Of Butte County Inc Elk Creek Grange,145 Church Street,Elk Creek,CA,95939,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.605868,-122.539429
Berkeley Food Pantry,1600 Sacramento Street,Berkeley,CA,94702,Alameda,510-525-2280,"The Berkeley Food Pantry provides monthly emergency groceries to Berkeley and Albany families and individuals in need. We are open during the current COVID 19 crisis for our normal business hours (Mon/Wed/Fri 2-4 pm).
 
We have also started an appointment system to keep people from standing in line or crowds forming. We encourage visitors to come between the hours of 11:00 a.m. to 3:00 p. m. to pick up an appointment slip. Then, please return during your appointment time to pick up your groceries. All appointments will be between 2-4 p. m. on Mondays, Wednesdays, and Fridays.",Food Pantry,http://www.berkeleyfoodpantry.org/,,37.876372,-122.283079
Bethel Community Presbyterian Church,14235 Bancroft Avenue,San Leandro,CA,94578,Alameda,510-357-4130,"Community church which offers limited case management on a case-by-case basis, as well as a weekly food pantry.",Food Pantry,http://www.bethelcommunitypcusa.org/,,37.712831,-122.137031
Brookins African Methodist Episcopal Church,2201 - 73rd Avenue,Oakland,CA,94605,Alameda,510-568-8954,"Serves breakfast to low-income residents of Oakland on the 2nd and 4th Saturday of each month, from 8-10. Offers food giveaway every 4th Monday, 10am-12pm, 3rd Fridays 10am to 12noon of each month. Also provides limited food baskets at Thanksgiving and Christmas.",Food Pantry,http://www.alamedacounty.info/content/food-banks,,37.764172,-122.180174
Centro De Servicios,525 H Street,Union City,CA,94587,Alameda,510-489-4100,"Offers emergency food and referrals through Alameda County Community Food Bank. Fresh produce (when available) on Wednesday mornings and Thursday afternoon. Available for all residents of the Tri-City area. Occasionally offers bread (when available) in the thrift store on Mondays. Call for schedule and further information. USDA FOOD PACKAGES: For UNION CITY RESIDENTS ONLY, 4th Thursdays, 9-12 or until food runs out. HOLIDAY FOOD BASKETS: Distributes Alameda County Community Food Bank baskets prior to Thanksgiving and Christmas. Must be a Union City resident. FINANCIAL ASSISTANCE: Provides financial assistance to individuals and families in need who are residents of Union City, on a limited, case-by-case basis. Available funds are dependent on thrift store sales. BABY FORMULA AND DIAPERS: Offered as available, on a case-by-case basis. CLOTHING: Offers adult and child clothing as available, on a case-by-case basis.",Food Pantry,http://www.centrodeservicios.org/,,37.599777,-122.018485
Children's Emergency Food Bank,7421 Amarillo Road,Dublin,CA,94568,Alameda,925-828-5363,Offers emergency food vouchers six times a year to families in need.  Accepts monetary donations and non-perishable food items.,Food Pantry,http://www.childrensemergencyfoodbank.org/,,37.70503,-121.942328
