"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"19","0050005A","36","25","21","1","1974","0","0","0","0","0","0","0","0","0","1851","0","0","0","0","0","0","0","0","0","0","0","488","0","0","0","0","1237","0","512","0","1246","5","595","1","18","4","1207","1146","550","1324","431","1381","347","1160","594","1366","389","1095","629","857","859","1338","385","533","1195","1284","430","945","771","1304","398","0","524","0","0","1197"
"19","0050014A","36","25","21","1","697","0","0","0","0","0","0","0","0","0","574","0","0","0","0","0","0","0","0","0","0","0","152","0","0","0","0","386","0","163","0","389","1","185","4","3","1","376","368","170","431","110","444","98","367","179","436","111","347","188","264","277","438","103","159","389","440","100","314","223","427","116","0","163","0","0","373"
"19","0050022A","36","27","25","1","61","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","33","0","15","0","34","1","21","0","1","0","33","39","14","45","8","40","15","31","22","40","14","30","23","30","22","41","12","13","39","43","10","27","22","35","15","0","20","0","0","33"
"19","0050024A","41","27","25","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0050025A","36","25","25","1","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","2","0","3","0","2","0","0","0","3","4","1","4","1","3","2","3","2","4","1","1","3","4","1","5","0","2","3","4","1","2","3","1","3","0","2","0","0","3"
"19","0050026A","36","28","25","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","1"
"19","0050027A","43","28","25","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","0","0","1"
"19","0050028A","36","25","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0050052D","43","27","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0050056A","41","27","25","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","0","0","1"
