stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3,1268,OCEAN NB & PICO FS,1900 OCEAN AVE & SEAVIEW TER,34.008091,-118.49093,,,,,,0
4,1020,4TH NB & SANTA MONICA NS,1400 4TH ST & SANTA MONICA BLVD,34.016387,-118.495074,,,,,,0
5,1413,SANTA MONICA EB & 6TH NS,600 SANTA MONICA BLVD & 6TH ST,34.017885,-118.493332,,,,,,0
6,2001,SANTA MONICA EB & CENTINELA FS,12400 SANTA MONICA BLVD & CENTINELA AVE,34.038631,-118.467514,,,,,,0
7,2002,SAWTELLE SB & SANTA MONICA NS,1600 SAWTELLE BLVD & SANTA MONICA BLVD,34.046523,-118.44849,,,,,,0
8,2003,UCLA HILGARD TERMINAL,500 UNNAMED ST & WESTHOLME AVE,34.071141,-118.43842,,,,,,0
11,2004,SAWTELLE NB & SANTA MONICA FS,1600 SAWTELLE BLVD & SANTA MONICA BLVD,34.046657,-118.448512,,,,,,0
13,1070,4TH SB & SANTA MONICA FS,1300 4TH ST & SANTA MONICA BLVD,34.016244,-118.495051,,,,,,0
20,1333,PICO EB & 4TH FS,400 PICO BLVD,34.009797,-118.486887,,,,,,0
21,1000,4TH NB & COLORADO FS (Downtown SM Station),1500 4TH ST & UNNAMED ST,34.014137,-118.49245,,,,,,0
22,1155,BROADWAY WB & 4TH FS,400 BROADWAY & 4TH ST,34.01485,-118.494001,,,,,,0
28,2006,WILSHIRE EB & BONSALL FS,11300 WILSHIRE BLVD & BONSALLE AVE,34.054405,-118.455163,,,,,,0
29,2007,VA HOSPITAL EB & BONSALL FS,11300 DOWLEN DR E & HADLEY LN,34.053495,-118.453306,,,,,,0
30,2008,VA HOSPITAL WB & BONSALL NS,11300 DOWLEN DR E & BONSALLE AVE,34.053226,-118.453883,,,,,,0
34,1090,4TH SB & SANTA MONICA PLACE (Downtown SM Station),1500 4TH ST & UNNAMED ST,34.014074,-118.492515,,,,,,0
38,2010,AVIATION/LAX STATION,11600 UNNAMED ST,33.929498,-118.376252,,,,,,0
41,2648,LINCOLN NB & WASHINGTON BL (VEN) FS,4000 LINCOLN BLVD & WASHINGTON BLVD,33.99059,-118.447858,,,,,,0
42,1201,LINCOLN NB & OCEAN PARK NS,2600 LINCOLN BLVD & OCEAN PARK BLVD,34.006933,-118.476192,,,,,,0
43,1146,ARIZONA EB & 5TH NS,500 ARIZONA AVE & 5TH ST,34.018426,-118.495864,,,,,,0
