from_stop_id,to_stop_id,transfer_type,min_transfer_time
13,4,,
227,4,,
314,7,,
385,7,,
314,11,,
385,11,,
4,13,,
227,13,,
283,20,,
21,22,,
430,22,,
431,22,,
630,28,,
640,28,,
30,29,,
29,30,,
22,34,,
52,41,,
231,42,,
232,42,,
50,44,,
48,45,,
47,46,,
46,47,,
681,47,,
231,51,,
232,51,,
41,52,,
70,58,,
68,59,,
391,59,,
65,62,,
62,65,,
59,68,,
391,68,,
58,70,,
257,70,,
245,72,,
76,73,,
228,73,,
229,73,,
1350,73,,
236,75,,
238,75,,
1307,75,,
73,76,,
228,76,,
229,76,,
1350,76,,
98,95,,
95,98,,
831,115,,
330,117,,
370,117,,
590,118,,
327,119,,
373,119,,
350,120,,
828,120,,
1240,120,,
486,132,,
488,132,,
218,135,,
154,151,,
230,151,,
943,151,,
985,151,,
1637,151,,
151,154,,
943,154,,
985,154,,
1637,154,,
179,178,,
178,179,,
185,184,,
1498,195,,
249,206,,
135,218,,
630,225,,
640,225,,
4,227,,
13,227,,
73,228,,
76,228,,
229,228,,
852,228,,
1350,228,,
73,229,,
76,229,,
228,229,,
1350,229,,
42,231,,
51,231,,
232,231,,
42,232,,
51,232,,
231,232,,
75,236,,
238,236,,
1307,236,,
75,238,,
236,238,,
1307,238,,
72,245,,
1186,245,,
62,246,,
65,246,,
66,248,,
206,249,,
1604,253,,
58,257,,
70,257,,
279,275,,
279,278,,
275,279,,
278,279,,
286,283,,
20,284,,
286,284,,
852,297,,
852,298,,
300,299,,
389,309,,
389,310,,
7,314,,
11,314,,
119,327,,
117,330,,
337,336,,
336,337,,
338,337,,
337,338,,
339,338,,
829,349,,
120,350,,
1240,350,,
1278,354,,
117,370,,
119,373,,
7,385,,
11,385,,
59,391,,
68,391,,
689,391,,
422,421,,
421,422,,
523,422,,
22,430,,
431,430,,
22,431,,
430,431,,
428,520,,
422,523,,
1282,539,,
426,561,,
520,561,,
594,563,,
574,576,,
580,577,,
577,580,,
118,590,,
566,591,,
563,594,,
762,621,,
761,622,,
28,630,,
225,630,,
28,640,,
225,640,,
46,681,,
682,681,,
685,681,,
681,682,,
681,685,,
59,689,,
68,689,,
1472,692,,
1270,697,,
707,698,,
698,707,,
622,761,,
621,762,,
120,828,,
349,829,,
115,831,,
881,840,,
297,852,,
298,852,,
1343,852,,
867,857,,
857,867,,
151,943,,
154,943,,
151,985,,
154,985,,
1089,1059,,
1059,1089,,
1146,1145,,
1145,1146,,
1549,1154,,
72,1186,,
245,1186,,
120,1240,,
539,1282,,
75,1307,,
236,1307,,
238,1307,,
852,1343,,
73,1350,,
76,1350,,
228,1350,,
229,1350,,
1353,1351,,
1351,1353,,
1377,1366,,
1366,1377,,
1400,1399,,
1399,1400,,
692,1472,,
195,1498,,
1154,1549,,
1591,1590,,
1590,1591,,
253,1604,,
1632,1622,,
1622,1632,,
1636,1635,,
1635,1636,,
151,1637,,
154,1637,,
