"_5_digit_ntd_id","max_agency","max_reporter_type","max_organization_type","report_year","max_city","max_state","max_agency_voms","mode","max_mode_name","type_of_service","max_mode_voms","max_primary_uza_code","max_primary_uza_name","max_primary_uza_area_sq_miles","max_primary_uza_population","max_service_area_sq_miles","max_service_area_population","questionable_record","max_time_period","min_time_service_begins","max_time_service_ends","sum_actual_vehicles_passenger_car_miles","sum_actual_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_deadhead_miles","sum_scheduled_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_car_hours","sum_actual_vehicles_passenger_car_revenue_hours","sum_actual_vehicles_passenger_car_deadhead_hours","sum_charter_service_hours","sum_school_bus_hours","sum_trains_in_operation","sum_train_miles","sum_train_revenue_miles","sum_train_deadhead_miles","sum_train_hours","sum_train_revenue_hours","sum_train_deadhead_hours","sum_unlinked_passenger_trips_upt","sum_ada_upt","sum_sponsored_service_upt","sum_passenger_miles","sum_directional_route_miles","sum_days_of_service_operated","sum_days_not_operated_strikes","sum_days_not_operated_emergencies"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","DR","Demand Response","PT","317","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","","Annual Total",,,"8825073","6710756","2114317","0","724517","552077","172440","0","0","0","0","0",,"0","0",,"888663","626887","0","6470644","0",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","DR","Demand Response","TX","81","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","","Annual Total",,,"0","1377744","0","0","0","59116","0",,,"0","0","0",,"0","0",,"121496","121496","0","1509526","0","0","0","0"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","FB","Ferryboat","DO","2","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","","Annual Total",,,"52310","52310","0","52410","5697","5697","0","0",,"0","0","0",,"0","0",,"399687",,,"1479694","24",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","MB","Bus","DO","715","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","","Annual Total",,,"35094526","29575605","5518921","31074177","3079005","2763099","315906","2219",,"0","0","0",,"0","0",,"63485248",,,"244710079","224.12",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","MB","Bus","PT","58","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","Y","Annual Total",,,"1221897","983035","238862","988039","92828","83273","9555","0","0","0","0","0",,"0","0",,"623887",,,"2376398","0",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","SR","Streetcar Rail","DO","10","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","","Annual Total",,,"183850","177754","6096","186823","38533","36982","1551",,,"0","183850","177754","6096","38533","36982","1551","1411817",,,"1556379","7.85","0","0","0"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","TB","Trolleybus","DO","110","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","","Annual Total",,,"2763078","2575445","187633","2611573","412728","385828","26900","106","0","0","0","0",,"0","0",,"10851566",,,"20078748","116.86",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","2270","VP","Vanpool","DO","977","80389","Seattle--Tacoma, WA","982.52","3544011","2134","2347800","","Annual Total",,,"6705162","6705162","0","0","224129","224129","0",,,"0","0","0",,"0","0",,"1104484",,,"23349034","0",,,
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Spokane","WA","300","DR","Demand Response","DO","55","83764","Spokane, WA","171.67","447279","248","471169","","Annual Total",,,"1336738","1217504","119234","0","84226","78053","6173",,,"0","0","0",,"0","0",,"195972","195967",,"1632916","0",,,
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Spokane","WA","300","DR","Demand Response","PT","36","83764","Spokane, WA","171.67","447279","248","471169","","Annual Total",,,"1244015","1099149","144866","0","78974","70837","8137",,,"0","0","0",,"0","0",,"164955","164951",,"1365690","0",,,
